Unnamed: 0,country,designation,points,price,province,region_1,region_2,variety,winery
243,US,Blanc de Blanc,85,30.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Hermann J. Wiemer
247,US,Reserve,85,25.0,California,Sonoma Mountain,Sonoma,Merlot,Work
248,US,Estate Single Vineyard,85,45.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Amity
250,US,Estate,85,49.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Blue Rock
251,US,Papillon Estate,85,22.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Cherry Hill
252,US,Seity,85,35.0,California,Amador County,Sierra Foothills,Zinfandel,Cloud 9
260,US,Estate,89,40.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
262,US,Fairytale,89,39.0,California,Napa Valley,Napa,Red Blend,Beaver Creek
263,US,Monument,89,60.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Byron
276,US,Old Vines,89,20.0,California,Sonoma County,Sonoma,Zinfandel,St. Francis
281,US,Bench Break Vineyard,92,34.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Cambria
283,US,Bella Vida Vineyard Unfiltered,92,52.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,J. Christopher
286,US,Rincon Vineyard,92,60.0,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Talley
289,US,Fortune Teller,92,125.0,California,Napa Valley,Napa,Cabernet Sauvignon,Parallel
295,US,Treana Red,87,35.0,California,Paso Robles,Central Coast,Cabernet Sauvignon-Syrah,Treana
300,US,Estate,87,28.0,California,Napa Valley,Napa,Sangiovese,Benessere
301,US,Whiteline No Oak,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buried Cane
328,US,Alluvium Blanc,86,16.0,California,Knights Valley,Sonoma,White Blend,Beringer
330,US,Lila's Cuvée,86,40.0,California,Central Coast,Central Coast,Red Blend,Clos La Chance
341,US,Serracino Reserve,82,48.0,California,Dry Creek Valley,Sonoma,Zinfandel,Pezzi King
352,US,South River,96,68.0,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
355,US,Sweetwater,96,68.0,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
362,US,Jamie,95,200.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,J. Davies
364,US,Weber Vineyard,95,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winderlea
370,US,Cherryblock Vineyard,88,160.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Sebastiani
386,US,Windacre Vineyard,88,34.0,California,Russian River Valley,Sonoma,Merlot,Merriam
387,US,Reserve Fume,88,17.0,California,Alexander Valley,Sonoma,Sauvignon Blanc,Murphy-Goode
388,US,Paragon Vineyard,88,25.0,California,Edna Valley,Central Coast,Pinot Noir,Kynsi
396,US,Ancient Vines,85,16.0,California,California,California Other,Zinfandel,Cline
403,US,Le Bon Viveur,85,15.0,California,California,California Other,Red Blend,Vinavanti
404,US,White Hawk Vineyard,85,45.0,California,Santa Barbara County,Central Coast,Syrah,Vino V
409,US,Dry,85,20.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,McGregor
411,US,Split Oak Vineyard,85,12.0,California,California,California Other,Cabernet Sauvignon,Morro Bay
421,US,Confidential Source,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Guardian
422,US,Blue Mountain Vineyard,89,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Grenache Blanc,Kerloo
424,US,Verdigris,89,30.0,California,California,California Other,White Blend,Las Positas
425,US,Bridge Lane,89,18.0,New York,New York,New York Other,Rosé,Lieb
427,US,Cuvée Gabriella Brut Rosé,89,35.0,New York,North Fork of Long Island,Long Island,Sparkling Blend,Macari
429,US,The Estates Clifton Hill Vineyard,89,42.0,Washington,Wahluke Slope,Columbia Valley,Syrah,Milbrandt
430,US,McGinley Vineyard,89,30.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Ojai
431,US,Indie,89,24.0,California,Templeton Gap District,Central Coast,Tempranillo,ONX
432,US,Upland Vineyard,89,16.0,Washington,Snipes Mountain,Columbia Valley,Riesling,Pomum
433,US,Stepping Stones,89,27.0,California,Santa Barbara County,Central Coast,Grenache Blanc,Prospect 772
437,US,Henry's Blend,89,54.0,California,Alexander Valley,Sonoma,Bordeaux-style Red Blend,Trione
442,US,Caya,89,35.0,New York,Long Island,Long Island,Cabernet Franc,Wölffer
443,US,Estate Grown,88,32.0,California,Sonoma Valley,Sonoma,Zinfandel,Dunbar
455,US,Reserve,92,40.0,California,Carneros,Napa-Sonoma,Chardonnay,Robert Mondavi
457,US,Solomon Hills Vineyard,92,45.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Rusack
460,US,Ridgecrest Vineyards,92,50.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Chehalem
461,US,Stoller Vineyards,92,29.0,Oregon,Dundee Hills,Willamette Valley,Pinot Blanc,Chehalem
467,US,Evenstad Reserve,92,65.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Domaine Serene
475,US,Clone 6,92,130.0,California,Rutherford,Napa,Cabernet Sauvignon,Bell
476,US,La Castellana,92,88.0,California,Napa Valley,Napa,Red Blend,Castello di Amorosa
480,US,Stella Mae,87,45.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Sparkman
482,US,Ocean's Ghost,87,60.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Babcock
486,US,L de Lyeth,87,13.0,California,Sonoma County,Sonoma,Cabernet Sauvignon,Lyeth
495,US,Battonage,87,18.0,California,El Dorado,Sierra Foothills,Chardonnay,Lava Cap
497,US,Babcock Vineyard,87,30.0,California,Suisun Valley,North Coast,Cabernet Franc,MICA Cellars
498,US,Annabella,87,17.0,California,Carneros,Napa-Sonoma,Pinot Noir,Michael Pozzan
501,US,Silvaspoons Vineyard,87,15.0,California,Lodi,Central Valley,Verdelho,Fenestra
507,US,Clifton Vineyard,87,28.0,Washington,Wahluke Slope,Columbia Valley,Syrah,Camaraderie
509,US,Quantum,91,65.0,California,Napa Valley,Napa,Red Blend,Beringer
510,US,Coastview Vineyard,91,48.0,California,Monterey County,Central Coast,Chardonnay,Big Basin
513,US,El Adobo Ranch Vineyard,91,90.0,California,Chiles Valley,Napa,Cabernet Sauvignon,Conn Creek
515,US,Silver Eagle Vineyard,91,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,D.R. Stephens
516,US,Soul Patch Estate Grown,91,55.0,California,Russian River Valley,Sonoma,Pinot Noir,Davis Family
517,US,Starr Ridge Vineyard,91,55.0,California,Russian River Valley,Sonoma,Pinot Noir,Davis Family
519,US,The Brat,91,36.0,California,Calaveras County,Sierra Foothills,Grenache,Prospect 772
520,US,Doux Sawyer Lindquist Vineyard,91,35.0,California,Edna Valley,Central Coast,Marsanne,Qupé
521,US,Sawyer Lindquist Vineyard,91,35.0,California,Edna Valley,Central Coast,Grenache,Qupé
522,US,Sims Vineyard,91,55.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Rex Hill
523,US,Steve's Reserve,91,65.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Ruby
524,US,Wallula,91,35.0,Washington,Horse Heaven Hills,Columbia Valley,Syrah,Structure
525,US,Rincon Vineyard,91,49.0,California,Arroyo Grande Valley,Central Coast,Chardonnay,Testarossa
526,US,Prince Hill Vineyard Reserve,91,55.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Tumwater
529,US,Bucher Vineyard,91,45.0,California,Russian River Valley,Sonoma,Pinot Noir,Joseph Jewell
531,US,Blanc de Noir,91,50.0,Oregon,Oregon,Oregon Other,Sparkling Blend,Le Cadeau
532,US,Diversité,91,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Le Cadeau
533,US,Équinoxe,91,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Le Cadeau
534,US,Di Domenico,91,38.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Le Vigne
538,US,Bradley Vineyard,91,45.0,Oregon,Umpqua Valley,Southern Oregon,Pinot Noir,Paul O'Brien
539,US,Twin Creeks Estate,93,42.0,California,Edna Valley,Central Coast,Pinot Noir,Claiborne & Churchill
540,US,Bien Nacido Vineyard,93,60.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Flying Goat Cellars
541,US,Solomon Hills Vineyard,93,42.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Flying Goat Cellars
543,US,Cañon Creek Vineyard,93,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Midsummer Cellars
544,US,Reckoning,93,54.0,California,Templeton Gap District,Central Coast,Red Blend,ONX
545,US,Les Sommets,93,85.0,California,Napa Valley,Napa,Cabernet Sauvignon,Les Belles Collines
546,US,Gap's Crown Vineyard,93,50.0,California,Sonoma Coast,Sonoma,Chardonnay,Lutum
547,US,Stolpman Vineyard,93,150.0,California,Ballard Canyon,Central Coast,Sangiovese,Turiya
548,US,Thomas Road,93,85.0,California,Green Valley,Sonoma,Pinot Noir,Iron Horse
550,US,Estate Reserve,93,35.0,California,Carneros,Napa-Sonoma,Chardonnay,Artesa
551,US,Pagani Ranch,93,46.0,California,Sonoma Valley,Sonoma,Zinfandel,Carlisle
557,US,Bien Nacido Vineyard,93,40.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Sanctuary
558,US,Enigma,93,25.0,California,Sierra Foothills,Sierra Foothills,White Blend,Terre Rouge
559,US,Hail Mary,93,48.0,California,Russian River Valley,Sonoma,Syrah-Grenache,Limerick Lane
560,US,Headpruned Block,93,45.0,California,Russian River Valley,Sonoma,Syrah,Limerick Lane
561,US,Durell Vineyard,93,50.0,California,Sonoma Coast,Sonoma,Pinot Noir,Loring Wine Company
563,US,Rancho Santa Rosa Vineyard,93,48.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Flying Goat Cellars
564,US,Fire Light,93,62.0,California,Paso Robles,Central Coast,Syrah,Four Lanterns
565,US,Shapeshifter,93,100.0,California,Central Coast,Central Coast,Red Blend,Turiya
566,US,If Six Was Nine Reserve,93,53.0,California,Napa Valley,Napa,Cabernet Sauvignon,World's End
568,US,Reserve,93,70.0,California,Howell Mountain,Napa,Cabernet Sauvignon,W.H. Smith
569,US,La Reyna Blanca Vineyard,89,38.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Alleromb
570,US,Art Den Hoed Vineyard,89,50.0,Washington,Yakima Valley,Columbia Valley,Syrah,Ardor
577,US,Pinot Noir,89,17.0,New York,Finger Lakes,Finger Lakes,Rosé,Chateau Lafayette Reneau
581,US,Orange Oak Ridge Vineyard,89,26.0,Washington,Columbia Gorge (WA),Washington Other,Gewürztraminer,Savage Grace
583,US,Unfiltered Estate,89,32.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Silvertip
585,US,StevensSteel,89,25.0,Washington,Yakima Valley,Columbia Valley,Chardonnay,Stevens
592,US,Summit View Vineyard,89,41.0,Washington,Walla Walla Valley (WA),Columbia Valley,Malbec,Kontos
598,US,Starlight,89,36.0,California,Paso Robles,Central Coast,Sangiovese,Midnight
606,US,Bomba,87,25.0,Oregon,Rogue Valley,Southern Oregon,Grenache,Quady North
607,US,Steel-Ox,87,25.0,Oregon,Rogue Valley,Southern Oregon,Viognier,Quady North
609,US,Estate,87,20.0,Oregon,Chehalem Mountains,Willamette Valley,Grüner Veltliner,Raptor Ridge
610,US,Charlotte's Home Estate,87,17.0,California,Northern Sonoma,Sonoma,Sauvignon Blanc,Rodney Strong
611,US,Toyon Farm,87,54.0,California,Carneros,Napa-Sonoma,Pinot Noir,Saintsbury
612,US,Caverio,87,40.0,California,Paso Robles,Central Coast,G-S-M,Sextant
616,US,Dutton Ranch,87,45.0,California,Russian River Valley,Sonoma,Chardonnay,B Cellars
618,US,Unfiltered,87,35.0,California,Calistoga,Napa,Merlot,Barlow
629,US,Pinpoint Extreme,92,75.0,California,Russian River Valley,Sonoma,Pinot Noir,Walt
634,US,Tina's Block Maple Vineyard,92,48.0,California,Dry Creek Valley,Sonoma,Zinfandel,Armida
640,US,Tinaquaic Vineyard,92,37.0,California,Santa Maria Valley,Central Coast,Chardonnay,Foxen
644,US,Estate Grown,92,40.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Niner
645,US,Freedom Hill Vineyard,92,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Purple Hands
649,US,Three Twins Vineyard Fallen Feather,92,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Stone The Crows
655,US,Lodi Native Marian's Vineyard,92,30.0,California,Mokelumne River,Central Valley,Zinfandel,St. Amant
656,US,Nancy's,92,70.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Stoller
660,US,Le Roi Soleil,90,80.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Y Rousseau
663,US,Rockpile Vineyard,90,65.0,California,Rockpile,Sonoma,Cabernet Sauvignon,Paradise Ridge
668,US,Virgin Berry,90,26.0,New York,North Fork of Long Island,Long Island,Riesling,Raphael
669,US,McClellan Estate Vineyard,90,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Malbec,Seven Hills
670,US,Eco Made with Organic Grapes,90,13.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Snoqualmie
672,US,Dry,90,26.0,New York,Long Island,Long Island,Riesling,The Grapes of Roth
674,US,Estate,90,38.0,California,Carneros,Napa-Sonoma,Cabernet Sauvignon,Truchard
676,US,Dijon Clone,90,32.0,Washington,Yakima Valley,Columbia Valley,Chardonnay,Array
679,US,Sagemoor,90,35.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Barrister
681,US,ALX,90,42.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Bunnell
684,US,Canoe Ridge Vineyard,90,30.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Chateau Ste. Michelle
685,US,Emmaline Ann Vineyard,90,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,Cobb
687,US,Gravel Ridge Vineyard,90,29.0,California,Santa Cruz Mountains,Central Coast,Chardonnay,Cooper-Garrod
688,US,Reserve 34,91,90.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Mosquito Fleet
689,US,Quattro Santa Barbara Highlands Vineyard,91,35.0,California,Santa Barbara County,Central Coast,Red Blend,Nadia
691,US,Ghielmetti Vineyard Micro-lot Reserve,91,50.0,California,Livermore Valley,Central Coast,Malbec,Nottingham Cellars
698,US,Little Bear Creek,91,20.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Woodinville Wine Cellars
709,US,DCV2 Estate Four Clones Vineyard,91,38.0,California,Dry Creek Valley,Sonoma,Zinfandel,Dry Creek Vineyard
711,US,Cohen Vineyard Dutton Ranch,91,23.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Dutton Estate
712,US,Keefer Ranch,91,48.0,California,Russian River Valley,Sonoma,Pinot Noir,Failla
713,US,Dichotomy,91,32.0,California,Russian River Valley,Sonoma,Pinot Noir,Friedeman
743,US,Treborce Vineyard,85,33.0,California,Dry Creek Valley,Sonoma,Zinfandel,Pech Merle
748,US,Fiori Delle Stelle Ice Wine,87,75.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Casa Larga
750,US,Thornton Vineyard,87,45.0,California,Sonoma Coast,Sonoma,Pinot Noir,De Loach
753,US,Effort,87,22.0,California,Edna Valley,Central Coast,Chardonnay,Center of Effort
757,US,Julia's Vineyard,87,36.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Lane Tanner
759,US,"Reserve, Vista del Monte Vineyard",87,70.0,California,Temecula Valley,South Coast,Syrah,Monte De Oro
760,US,Estate Grown,87,28.0,California,Dry Creek Valley,Sonoma,Syrah,Mounts
764,US,Cuvée Christine,87,45.0,California,North Coast,North Coast,Syrah,Pax
765,US,The Griffin,87,32.0,California,Napa Valley,Napa,Red Blend,Robert Foley
771,US,Ocean Reserve,92,40.0,California,Green Valley,Sonoma,Sparkling Blend,Iron Horse
774,US,Lorna Marie,92,70.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Patton Valley
775,US,West Block,92,48.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Patton Valley
778,US,Winderlea Vineyard,92,105.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Adelsheim
782,US,Cuvée M,92,35.0,California,Arroyo Grande Valley,Central Coast,Sparkling Blend,Laetitia
783,US,Big River Ranch,92,38.0,California,Alexander Valley,Sonoma,Zinfandel,Bella
787,US,Rutherford Estate Vineyard,90,125.0,California,Rutherford,Napa,Cabernet Sauvignon,St. Supéry
790,US,Signature,90,17.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Barnard Griffin
791,US,Chehalem Mountain Vineyard,90,85.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Beacon Hill
793,US,Tuttorosso,90,34.0,Washington,Yakima Valley,Columbia Valley,Red Blend,Brian Carter Cellars
801,US,Tawny Estate,90,50.0,California,Sonoma Valley,Sonoma,Syrah,Deerfield Ranch
803,US,Upright Klipsun Vineyard,90,39.0,Washington,Red Mountain,Columbia Valley,Merlot,Efeste
804,US,Lola Evergreen Vineyard,90,35.0,Washington,Ancient Lakes,Columbia Valley,Chardonnay,Efeste
806,US,Small Lot,90,27.0,California,Sierra Foothills,Sierra Foothills,Chardonnay,Iron Hub
815,US,Soleil,86,18.0,Washington,Wahluke Slope,Columbia Valley,Sauvignon Blanc,Finn Hill
816,US,Pre-Emption Vineyard,86,22.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,Keuka Spring
838,US,Les Collines Vineyard,86,36.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Kontos
839,US,Yellow Dog Vineyard,86,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
843,US,Proprietor's Reserve,86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Maryhill
855,US,Reserve,90,35.0,California,Edna Valley,Central Coast,Chardonnay,Edna Valley Vineyard
860,US,Erato De Portola Trail Vineyard,90,45.0,California,Temecula Valley,South Coast,Cabernet Franc,Gershon Bachus
863,US,Rio Vista Vineyard,90,45.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,West of Temperance
867,US,Estate,90,40.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Carabella
869,US,Larner,90,42.0,California,Ballard Canyon,Central Coast,Grenache,Casa Dumetz
880,US,Sonoma Estate,90,20.0,California,Los Carneros,Napa-Sonoma,Syrah,Cline
884,US,Brut Rose,90,28.0,California,Russian River Valley,Sonoma,Sparkling Blend,J Vineyards & Winery
888,US,Slide Mountain Vineyard,90,72.0,Washington,Yakima Valley,Columbia Valley,Cabernet Franc,Owen Roe
889,US,Red Label,90,44.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Pacific Ridge
890,US,Estate,90,28.0,California,Napa Valley,Napa,Viognier,Phoenix Ranch
892,US,Stone Tree Vineyard Intuition Reserve,90,58.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Bergevin Lane
896,US,Signature Selection,90,70.0,California,Temecula Valley,South Coast,Syrah,Leonesse Cellars
897,US,Dividend,90,39.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Market Vineyards
912,US,Three Otters Pinot Noir,87,18.0,Oregon,Willamette Valley,Willamette Valley,Rosé,Fullerton
915,US,Atração,87,25.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Coelho
916,US,Renovação Estate Vineyards,87,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Coelho
925,US,Vin Doux Naturel,87,20.0,California,Shenandoah Valley (CA),Sierra Foothills,Muscat Blanc à Petits Grains,Terre Rouge
929,US,Estate,87,20.0,California,Amador County,Sierra Foothills,Zinfandel,Bella Grace
936,US,Ian's Reserve,87,40.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Chehalem
937,US,Stoller Vineyards,87,29.0,Oregon,Dundee Hills,Willamette Valley,Pinot Blanc,Chehalem
939,US,Melange d'Amis Reserve,87,55.0,California,Livermore Valley,Central Coast,Bordeaux-style Red Blend,Cuda Ridge Wines
944,US,Estate,87,27.0,Oregon,Rogue Valley,Southern Oregon,Viognier,Folin Cellars
945,US,Director's,87,17.0,California,Sonoma County,Sonoma,Chardonnay,Francis Coppola
946,US,Reserve Winston Hill Vineyard,87,65.0,California,Rutherford,Napa,Sangiovese,Frank Family
951,US,Rennie Vineyard Organic Grapes,87,32.0,California,Yorkville Highlands,North Coast,Petit Verdot,Yorkville Cellars
953,US,i,87,38.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Amalie Robert
954,US,Reserve Bottling,87,15.0,California,Lodi,Central Valley,Cabernet Sauvignon,Archgate Cellars
957,US,Ritchie Vineyard,87,24.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Carica
973,US,Alexander School Reserve Big Barrel,85,35.0,California,Alexander Valley,Sonoma,Syrah,Alexander Valley Vineyards
974,US,Rough House Red,85,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Red Blend,Covington
976,US,Summation Vintner's Reserve,85,17.0,California,California,California Other,White Blend,Kendall-Jackson
977,US,Estate Grown,85,16.0,California,Suisun Valley,North Coast,Viognier,Ledgewood Creek
978,US,White X,85,15.0,California,North Coast,North Coast,White Blend,X
1002,US,First Class,88,60.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Benton-Lane
